Date,Time,Source IP Address,Destination IP Address,Source Port,Destination Port
29-Jan,03:57:38,192.168.17.24,192.168.10.60,138,138
29-Jan,04:00:28,192.168.17.24,192.168.9.51,138,138
29-Jan,04:00:28,192.168.17.24,192.168.10.60,138,138
29-Jan,04:00:28,192.168.17.24,192.168.9.51,138,138
29-Jan,04:00:28,192.168.17.24,192.168.10.60,138,138
29-Jan,04:03:38,192.168.17.24,192.168.9.51,138,138
29-Jan,04:03:38,192.168.17.24,192.168.10.60,138,138
29-Jan,04:03:38,192.168.17.24,192.168.9.51,138,138
29-Jan,04:03:38,192.168.17.24,192.168.10.60,138,138
29-Jan,04:06:37,192.168.17.24,192.168.9.51,138,138
29-Jan,04:06:37,192.168.17.24,192.168.10.60,138,138
29-Jan,04:06:37,192.168.17.24,192.168.9.51,138,138
29-Jan,04:06:37,192.168.17.24,192.168.10.60,138,138
29-Jan,04:09:37,192.168.17.24,192.168.9.51,138,138
29-Jan,04:09:37,192.168.17.24,192.168.10.60,138,138
29-Jan,04:09:37,192.168.17.24,192.168.9.51,138,138
29-Jan,04:09:37,192.168.17.24,192.168.10.60,138,138
29-Jan,04:12:37,192.168.17.24,192.168.9.51,138,138
29-Jan,04:12:37,192.168.17.24,192.168.10.60,138,138
29-Jan,04:12:37,192.168.17.24,192.168.9.51,138,138
29-Jan,04:12:37,192.168.17.24,192.168.10.60,138,138
29-Jan,04:15:52,192.168.17.24,192.168.9.51,138,138
29-Jan,04:15:52,192.168.17.24,192.168.10.60,138,138
29-Jan,04:15:52,192.168.17.24,192.168.9.51,138,138
29-Jan,04:15:52,192.168.17.24,192.168.10.60,138,138
29-Jan,04:18:51,192.168.17.24,192.168.9.51,138,138
29-Jan,04:18:51,192.168.17.24,192.168.10.60,138,138
29-Jan,04:18:51,192.168.17.24,192.168.9.51,138,138
29-Jan,04:18:51,192.168.17.24,192.168.10.60,138,138
29-Jan,04:21:46,192.168.17.24,192.168.9.51,138,138
29-Jan,04:21:46,192.168.17.24,192.168.10.60,138,138
29-Jan,04:21:46,192.168.17.24,192.168.9.51,138,138
29-Jan,04:21:46,192.168.17.24,192.168.10.60,138,138
29-Jan,04:24:47,192.168.17.24,192.168.9.51,138,138
29-Jan,04:24:47,192.168.17.24,192.168.10.60,138,138
29-Jan,04:24:47,192.168.17.24,192.168.9.51,138,138
29-Jan,04:24:47,192.168.17.24,192.168.10.60,138,138
29-Jan,04:28:05,192.168.17.24,192.168.9.51,138,138
29-Jan,04:28:05,192.168.17.24,192.168.10.60,138,138
29-Jan,04:28:05,192.168.17.24,192.168.9.51,138,138
29-Jan,04:28:05,192.168.17.24,192.168.10.60,138,138
29-Jan,04:31:04,192.168.17.24,192.168.9.51,138,138
29-Jan,04:31:04,192.168.17.24,192.168.10.60,138,138
29-Jan,04:31:04,192.168.17.24,192.168.9.51,138,138
29-Jan,04:31:04,192.168.17.24,192.168.10.60,138,138
29-Jan,04:34:00,192.168.17.24,192.168.9.51,138,138
29-Jan,04:34:00,192.168.17.24,192.168.10.60,138,138
29-Jan,04:34:00,192.168.17.24,192.168.9.51,138,138
29-Jan,04:34:00,192.168.17.24,192.168.10.60,138,138
29-Jan,04:37:00,192.168.17.24,192.168.9.51,138,138
29-Jan,04:37:00,192.168.17.24,192.168.10.60,138,138
29-Jan,04:37:00,192.168.17.24,192.168.9.51,138,138
29-Jan,04:37:00,192.168.17.24,192.168.10.60,138,138
29-Jan,04:40:19,192.168.17.24,192.168.9.51,138,138
29-Jan,04:40:19,192.168.17.24,192.168.10.60,138,138
29-Jan,04:40:19,192.168.17.24,192.168.9.51,138,138
29-Jan,04:40:19,192.168.17.24,192.168.10.60,138,138
29-Jan,04:43:19,192.168.17.24,192.168.9.51,138,138
29-Jan,04:43:19,192.168.17.24,192.168.10.60,138,138
29-Jan,04:43:19,192.168.17.24,192.168.9.51,138,138
29-Jan,04:43:19,192.168.17.24,192.168.10.60,138,138
29-Jan,04:46:14,192.168.17.24,192.168.9.51,138,138
29-Jan,04:46:14,192.168.17.24,192.168.10.60,138,138
29-Jan,04:46:14,192.168.17.24,192.168.9.51,138,138
29-Jan,04:46:14,192.168.17.24,192.168.10.60,138,138
29-Jan,04:49:14,192.168.17.24,192.168.9.51,138,138
29-Jan,04:49:14,192.168.17.24,192.168.10.60,138,138
29-Jan,04:49:14,192.168.17.24,192.168.9.51,138,138
29-Jan,04:49:14,192.168.17.24,192.168.10.60,138,138
29-Jan,04:52:33,192.168.17.24,192.168.9.51,138,138
29-Jan,04:52:33,192.168.17.24,192.168.10.60,138,138
29-Jan,04:52:33,192.168.17.24,192.168.9.51,138,138
29-Jan,04:52:33,192.168.17.24,192.168.10.60,138,138
29-Jan,04:55:33,192.168.17.24,192.168.9.51,138,138
29-Jan,04:55:33,192.168.17.24,192.168.10.60,138,138
29-Jan,04:55:33,192.168.17.24,192.168.9.51,138,138
29-Jan,04:55:33,192.168.17.24,192.168.10.60,138,138
29-Jan,04:58:29,192.168.17.24,192.168.9.51,138,138
29-Jan,04:58:29,192.168.17.24,192.168.10.60,138,138
29-Jan,04:58:29,192.168.17.24,192.168.9.51,138,138
29-Jan,04:58:29,192.168.17.24,192.168.10.60,138,138
29-Jan,05:01:30,192.168.17.24,192.168.9.51,138,138
29-Jan,05:01:30,192.168.17.24,192.168.10.60,138,138
29-Jan,05:01:30,192.168.17.24,192.168.9.51,138,138
29-Jan,05:01:30,192.168.17.24,192.168.10.60,138,138
29-Jan,05:04:47,192.168.17.24,192.168.9.51,138,138
29-Jan,05:04:47,192.168.17.24,192.168.10.60,138,138
29-Jan,05:04:47,192.168.17.24,192.168.9.51,138,138
29-Jan,05:04:47,192.168.17.24,192.168.10.60,138,138
29-Jan,05:07:47,192.168.17.24,192.168.9.51,138,138
29-Jan,05:07:47,192.168.17.24,192.168.10.60,138,138
29-Jan,05:07:47,192.168.17.24,192.168.9.51,138,138
29-Jan,05:07:47,192.168.17.24,192.168.10.60,138,138
29-Jan,05:10:41,192.168.17.24,192.168.9.51,138,138
29-Jan,05:10:41,192.168.17.24,192.168.10.60,138,138
29-Jan,05:10:41,192.168.17.24,192.168.9.51,138,138
29-Jan,05:10:41,192.168.17.24,192.168.10.60,138,138
29-Jan,05:13:43,192.168.17.24,192.168.9.51,138,138
29-Jan,05:13:43,192.168.17.24,192.168.10.60,138,138
29-Jan,05:13:43,192.168.17.24,192.168.9.51,138,138
29-Jan,05:13:43,192.168.17.24,192.168.10.60,138,138
29-Jan,05:17:01,192.168.17.24,192.168.9.51,138,138
29-Jan,05:17:01,192.168.17.24,192.168.10.60,138,138
29-Jan,05:17:01,192.168.17.24,192.168.9.51,138,138
29-Jan,05:17:01,192.168.17.24,192.168.10.60,138,138
29-Jan,05:20:00,192.168.17.24,192.168.9.51,138,138
29-Jan,05:20:00,192.168.17.24,192.168.10.60,138,138
29-Jan,05:20:00,192.168.17.24,192.168.9.51,138,138
29-Jan,05:20:00,192.168.17.24,192.168.10.60,138,138
29-Jan,05:22:57,192.168.17.24,192.168.9.51,138,138
29-Jan,05:22:57,192.168.17.24,192.168.10.60,138,138
29-Jan,05:22:57,192.168.17.24,192.168.9.51,138,138
